PROJECT_ID,SAMPLE_ID,MATRIX,COLLECT_DATE,LAB_SAMPLE_ID,SAMPLE_TYPE,LOCATION,REC_DATE,RUN_DATE_TIME,ANL_BATCH,PRP_BATCH,EXTRACTION_CODE,EXTRACTED_DATE,ANALYTE,CAS_NUMBER,ANALYTE_FLAG,ANALYTICAL_METHOD,RESULT,RESULTFLAG,TEXT_RESULT,REPDL,LIMIT_DEFINITION,UNITS,ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,ALLOWABLE_LIMIT,DISSOLVED,ANALYSIS_GROUP,METHOD_ORDER,ANALYTE_ORDER,LOQ,LOD,DL,SDG
,1231580003 MS FOR [WXX14730],1,04/20/2023 09:28,1712001,MS,,04/20/2023 13:52,05/09/2023 14:08,WDA5496,WXX14730,"SM21 4500P-B,E",05/09/2023 12:00,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0.269,=,,0.02,LOD,mg/L,1,25,25,,,0.2,102,75,125,0.0639,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,1231580003 MSD FOR [WXX14730],1,04/20/2023 09:28,1712002,MSD,,04/20/2023 13:52,05/09/2023 14:09,WDA5496,WXX14730,"SM21 4500P-B,E",05/09/2023 12:00,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0.28,=,,0.02,LOD,mg/L,1,25,25,,,0.2,108,75,125,0.0639,4.2,0,7,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,1231692001 MS FOR [WFI3037],9,04/27/2023 14:02,1711649,MS,,04/27/2023 14:53,05/05/2023 12:26,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,5.74,=,,0.1,LOD,mg/L,2,5,5,,,5,95.5,90,110,0.966,,,,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1231692001 MSD FOR [WFI3037],9,04/27/2023 14:02,1711650,MSD,,04/27/2023 14:53,05/05/2023 12:27,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,5.74,=,,0.1,LOD,mg/L,2,5,5,,,5,95.4,90,110,0.966,0.087,0,25,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1231784001 MS FOR [WFI3037],9,05/03/2023 11:30,1711651,MS,,05/03/2023 13:15,05/05/2023 13:11,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,8.58,=,,0.1,LOD,mg/L,2,5,5,,,5,93.5,90,110,3.9,,,,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1231784001 MSD FOR [WFI3037],9,05/03/2023 11:30,1711652,MSD,,05/03/2023 13:15,05/05/2023 13:13,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,8.36,=,,0.1,LOD,mg/L,2,5,5,,,5,89.2,90,110,3.9,2.6,0,25,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1231796001 MS FOR [WXX14745],1,05/03/2023 10:10,1713327,MS,,05/03/2023 11:30,05/17/2023 16:37,WDA5503,WXX14745,"SM21 4500P-B,E",05/17/2023 12:30,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0.216,=,,0.02,LOD,mg/L,1,25,25,,,0.2,95.1,75,125,0.0255,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,1231796001 MSD FOR [WXX14745],1,05/03/2023 10:10,1713328,MSD,,05/03/2023 11:30,05/17/2023 16:38,WDA5503,WXX14745,"SM21 4500P-B,E",05/17/2023 12:30,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0.22,=,,0.02,LOD,mg/L,1,25,25,,,0.2,97.3,75,125,0.0255,2.1,0,7,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,1231846004MS,1,05/03/2023 09:22,1711653,MS,,05/04/2023 08:51,05/05/2023 14:41,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,5.26,=,,0.1,LOD,mg/L,2,5,5,,,5,101,90,110,0.198,,,,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1231846004MSD,1,05/03/2023 09:22,1711654,MSD,,05/04/2023 08:51,05/05/2023 14:42,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,5.46,=,,0.1,LOD,mg/L,2,5,5,,,5,105,90,110,0.198,3.7,0,25,3,,.,Waters Department,20,11,0.2,0.1,0.05,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Arsenic,7440-38-2,N,EP200.8 ,1020,=,,2.5,LOD,ug/L,1,20,50,,,1000,102,70,130,0,,,,3,(<10),.,Metals by ICP/MS,15,3,5,2.5,1.5,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Cadmium,7440-43-9,N,EP200.8 ,94.3,=,,0.25,LOD,ug/L,1,20,50,,,100,93.7,70,130,0.595,,,,3,(<5),.,Metals by ICP/MS,15,7,0.5,0.25,0.15,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Chromium,7440-47-3,N,EP200.8 ,405,=,,2.5,LOD,ug/L,1,20,50,,,400,95.2,70,130,24.1,,,,3,(<100),.,Metals by ICP/MS,15,9,5,2.5,2.5,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Copper,7440-50-8,N,EP200.8 ,1030,=,,1.5,LOD,ug/L,1,20,50,,,1000,103,70,130,2.95,,,,3,(<1000),.,"Metals by ICP/MS (Provisional for Be, Cu 06052023)",15,11,3,1.5,1,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Lead,7439-92-1,N,EP200.8 ,1010,=,,1,LOD,ug/L,1,20,50,,,1000,101,70,130,0,,,,3,(<15),.,Metals by ICP/MS,15,13,2,1,0.5,1231846
,1712984 MS FOR [MXX35860],1,05/03/2023 10:30,1712990,MS,,05/16/2023 18:30,05/19/2023 20:11,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Zinc,7440-66-6,N,EP200.8 ,1040,=,,5,LOD,ug/L,1,20,50,,,1000,102,70,130,11.6,,,,3,(<5000),.,Metals by ICP/MS,15,32,10,5,3.1,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/19/2023 20:15,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Arsenic,7440-38-2,N,EP200.8 ,961,=,,2.5,LOD,ug/L,1,20,50,,,1000,95.8,70,130,3.08,,,,3,(<10),.,Metals by ICP/MS,15,3,5,2.5,1.5,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/19/2023 20:15,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Cadmium,7440-43-9,N,EP200.8 ,99.5,=,,0.25,LOD,ug/L,1,20,50,,,100,95.1,70,130,4.41,,,,3,(<5),.,Metals by ICP/MS,15,7,0.5,0.25,0.15,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/19/2023 20:15,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Chromium,7440-47-3,N,EP200.8 ,396,=,,2.5,LOD,ug/L,1,20,50,,,400,99.1,70,130,0,,,,3,(<100),.,Metals by ICP/MS,15,9,5,2.5,2.5,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/19/2023 20:15,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Copper,7440-50-8,N,EP200.8 ,1510,=,,1.5,LOD,ug/L,1,20,50,,,1000,97.5,70,130,538,,,,3,(<1000),.,"Metals by ICP/MS (Provisional for Be, Cu 06052023)",15,11,3,1.5,1,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/19/2023 20:15,MMS11929,MXX35860,E200.2,05/16/2023 15:20,Lead,7439-92-1,N,EP200.8 ,1110,=,,1,LOD,ug/L,1,20,50,,,1000,103,70,130,81,,,,3,(<15),.,Metals by ICP/MS,15,13,2,1,0.5,1231846
,1712985 MS FOR [MXX35860],1,05/09/2023 11:20,1712991,MS,,05/16/2023 18:31,05/22/2023 11:54,MMS11931,MXX35860,E200.2,05/16/2023 15:20,Zinc,7440-66-6,N,EP200.8 ,2020,=,,25,LOD,ug/L,5,20,50,,,1000,107,70,130,943,,,,3,(<5000),.,Metals by ICP/MS,15,32,50,25,15.5,1231846
,1714027 MS FOR [MXX35877],1,05/19/2023 16:30,1714032,MS,,05/23/2023 12:35,05/30/2023 18:16,MMS11940,MXX35877,E200.2,05/23/2023 13:45,Zinc,7440-66-6,N,EP200.8 ,1020,=,,5,LOD,ug/L,1,20,50,,,1000,99.8,70,130,23.8,,,,3,(<5000),.,Metals by ICP/MS,15,32,10,5,3.1,1231846
,1714066 MS FOR [MXX35877],1,05/02/2023 10:22,1714067,MS,,05/23/2023 16:11,05/30/2023 18:12,MMS11940,MXX35877,E200.2,05/23/2023 13:45,Zinc,7440-66-6,N,EP200.8 ,1020,=,,5,LOD,ug/L,1,20,50,,,1000,100,70,130,18.4,,,,3,(<5000),.,Metals by ICP/MS,15,32,10,5,3.1,1231846
,1715251 MS FOR [MXX35898],1,05/02/2023 10:22,1715253,MS,,06/01/2023 13:54,06/06/2023 13:47,MMS11946,MXX35898,E200.2,06/01/2023 16:04,Zinc,7440-66-6,N,EP200.8 ,1030,=,,5,LOD,ug/L,1,20,50,,,1000,101,70,130,13.7,,,,3,(<5000),.,Metals by ICP/MS,15,32,10,5,3.1,1231846
,1715252 MS FOR [MXX35898],1,05/31/2023 10:42,1715254,MS,,06/01/2023 13:56,06/06/2023 13:52,MMS11946,MXX35898,E200.2,06/01/2023 16:04,Zinc,7440-66-6,N,EP200.8 ,1110,=,,5,LOD,ug/L,1,20,50,,,1000,104,70,130,67.2,,,,3,(<5000),.,Metals by ICP/MS,15,32,10,5,3.1,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711735,CB,,05/08/2023 11:35,05/05/2023 15:30,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711735,CB,,05/08/2023 11:35,05/05/2023 15:30,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711735,CB,,05/08/2023 11:35,05/05/2023 15:30,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711737,CB,,05/08/2023 11:35,05/05/2023 15:21,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711737,CB,,05/08/2023 11:35,05/05/2023 15:21,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711737,CB,,05/08/2023 11:35,05/05/2023 15:21,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711739,CB,,05/08/2023 11:35,05/05/2023 14:58,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711739,CB,,05/08/2023 11:35,05/05/2023 14:58,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711739,CB,,05/08/2023 11:35,05/05/2023 14:58,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711741,CB,,05/08/2023 11:35,05/05/2023 14:35,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711741,CB,,05/08/2023 11:35,05/05/2023 14:35,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711741,CB,,05/08/2023 11:35,05/05/2023 14:35,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711745,CB,,05/08/2023 11:35,05/05/2023 13:50,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711745,CB,,05/08/2023 11:35,05/05/2023 13:50,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711745,CB,,05/08/2023 11:35,05/05/2023 13:50,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711747,CB,,05/08/2023 11:35,05/05/2023 13:29,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711747,CB,,05/08/2023 11:35,05/05/2023 13:29,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711747,CB,,05/08/2023 11:35,05/05/2023 13:29,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854503 (WDA/5496),1,,1712011,CB,,05/09/2023 15:40,05/09/2023 14:23,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 (WDA/5496),1,,1712013,CB,,05/09/2023 15:40,05/09/2023 14:29,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 [WDA/5496],1,,1712008,CB,,05/09/2023 15:37,05/09/2023 14:00,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 [WDA/5496],1,,1712010,CB,,05/09/2023 15:37,05/09/2023 14:12,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713348,CB,,05/18/2023 13:15,05/17/2023 16:53,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713350,CB,,05/18/2023 13:15,05/17/2023 17:31,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713352,CB,,05/18/2023 13:15,05/17/2023 17:35,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 [WDA/5503],1,,1713344,CB,,05/18/2023 13:12,05/17/2023 16:31,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 [WDA/5503],1,,1713346,CB,,05/18/2023 13:12,05/17/2023 16:42,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Chromium,7440-47-3,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,9,2,1,1,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Copper,7440-50-8,N,EP200.8 ,0,U,,0.6,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,11,1.2,0.6,0.4,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Lead,7439-92-1,N,EP200.8 ,0,U,,0.4,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,13,0.8,0.4,0.2,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Zinc,7440-66-6,N,EP200.8 ,0,U,,2,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,32,4,2,1.24,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
